Produto,Empresa,Ingrediente Ativo,URL
Adante XTRA,Syngenta,"Azoxistrobina, Ciproconazol, Tiametoxam",/agrolinkfito/produto/adante-xtra_10491.html
Addit,Sumitomo,"2,4-D, Equivalente ácido de 2,4-D, Equivalente Ácido de Picloram, Picloram",/agrolinkfito/produto/addit_7812.html
Adengo,Bayer,"Isoxaflutol, Tiencarbazona-metílica",/agrolinkfito/produto/adengo_11370.html
Aderis,Ouro Fino,Clorotalonil,/agrolinkfito/produto/aderis_10727.html
Adetus,Syngenta,"Difenoconazol, Pidiflumetofem",/agrolinkfito/produto/adetus_11899.html
Adexar,Basf,"Epoxiconazol, Fluxapiroxade",/agrolinkfito/produto/adexar_11494.html
Adifac,Basf,"Bentazona, Imazamoxi",/agrolinkfito/produto/adifac_10762.html
Admiral 100 EW,Sumitomo,Piriproxifem,/agrolinkfito/produto/admiral-100-ew_10850.html
Adobe 450 FS,UPL,"Ipconazol, Óleo mineral",/agrolinkfito/produto/adobe-450-fs_11455.html
Advance,Ouro Fino,"Diurom, Hexazinona",/agrolinkfito/produto/advance_3001.html
Adver 240 SC,Tecnomyl,Clorfenapir,/agrolinkfito/produto/adver-240-sc_11765.html
Afalon 450 SC,Adama,Linurom,/agrolinkfito/produto/afalon-450-sc_8469.html
Afalon SC,Adama,Linurom,/agrolinkfito/produto/afalon-sc_10.html
Affinity 400 EC,FMC,Carfentrazona-etílica,/agrolinkfito/produto/affinity-400-ec_7246.html
Affinity 400 WP,FMC,Carfentrazona-etílica,/agrolinkfito/produto/affinity-400-wp_7412.html
Afinal,Iharabras,Bispiribaque-sódico,/agrolinkfito/produto/afinal_11171.html
AfincoBR,Ouro Fino,Diafentiurom,/agrolinkfito/produto/afincobr_10461.html
Afitrix,Iharabras,Benfuracarbe,/agrolinkfito/produto/afitrix_7730.html
Agata,ISK,Fluazinam,/agrolinkfito/produto/agata_8545.html
AgDommon/NemaOff/Bionexus,Massen,"Bacillus licheniformis, cepa ATCC 12713, Bacillus subtilis, cepa ATCC 6051, Paecilomyces lilacinus (Purpureocilium lilacinum), cepa: CPQBA 040-11 DRM 10",/agrolinkfito/produto/agdommon-nemaoff-bionexus_11195.html
Agefix,Gulf,Óleo mineral,/agrolinkfito/produto/agefix_7715.html
Aggressor,AllierBrasil,Acefato,/agrolinkfito/produto/aggressor_12018.html
Agile,UPL,"Cletodim, Equivalente ácido de Haloxifope-P-metílico, Haloxifope-P-metílico",/agrolinkfito/produto/agile_10841.html
Agree,Bio Controle,Bacillus thuringiensis aizawai GC-91,/agrolinkfito/produto/agree_3032.html
Agria,UPL,"Azoxistrobina, Mancozebe",/agrolinkfito/produto/agria_10281.html
Agrinose,Sumitomo,"Equivalente em cobre metálico, Oxicloreto de cobre",/agrolinkfito/produto/agrinose_3178.html
Agritoato 400,Sumitomo,Dimetoato,/agrolinkfito/produto/agritoato-400_8520.html
Agritone,Sumitomo,"Equivalente ácido de MCPA, MCPA",/agrolinkfito/produto/agritone_8399.html
Agroben 500,Agro Import,Carbendazim,/agrolinkfito/produto/agroben-500_8687.html
Agro-Oil,Vittia,Óleo vegetal,/agrolinkfito/produto/agro-oil_3403.html
Agrosban,Syncrom,Clorpirifós,/agrolinkfito/produto/agrosban_11997.html
Agroshield/Clorotalonil 825 WG NGC,Syncrom,Clorotalonil,/agrolinkfito/produto/agroshield-clorotalonil-825-wg-ngc_12000.html
Agrothio 800,Vittia,Enxofre (Sulfur),/agrolinkfito/produto/agrothio-800_8371.html
Agrotop/Pilardifen,Pilarquim,Difenoconazol,/agrolinkfito/produto/agrotop-pilardifen_11324.html
AgTecmmon,Massen,"Bacillus amyloliquefaciens cepa CPQBA 040-11DRM 01, Bacillus amyloliquefaciens cepa CPQBA 040-11DRM 04",/agrolinkfito/produto/agtecmmon_11290.html
Aim,FMC,Carfentrazona-etílica,/agrolinkfito/produto/aim_8075.html
Airone,Gowan,"Equivalente em cobre metálico, Hidróxido de cobre, Oxicloreto de cobre",/agrolinkfito/produto/airone_10627.html
Airone Inox,Gowan,"Hidróxido de cobre, Oxicloreto de cobre",/agrolinkfito/produto/airone-inox_10867.html
Airone Scudo,Gowan,"Hidróxido de cobre, Oxicloreto de cobre",/agrolinkfito/produto/airone-scudo_10868.html
Akito,UPL,Beta-Cipermetrina,/agrolinkfito/produto/akito_4683.html
Álaabo/Isatrix,Agrobiológica Sustentabilidade,Paecilomyces fumosoroseus CCT 7769,/agrolinkfito/produto/alaabo-isatrix_11015.html
Alaclor + Atrazina SC Nortox,Nortox,"Alacloro, Atrazina",/agrolinkfito/produto/alaclor---atrazina-sc-nortox_4459.html
Alaclor Nortox,Nortox,Alacloro,/agrolinkfito/produto/alaclor-nortox_2933.html
Alade,Syngenta,"Benzovindiflupir, Ciproconazol, Difenoconazol",/agrolinkfito/produto/alade_11441.html
Albatross,Adama,Fipronil,/agrolinkfito/produto/albatross_8745.html
Albatross 800 WG,Adama,Fipronil,/agrolinkfito/produto/albatross-800-wg_10455.html
Albatross WG,Adama,Fipronil,/agrolinkfito/produto/albatross-wg_11382.html
Albero/Impala/Patrono/Reinado,UPL,"Equivalente ácido de Fluroxipir, Equivalente Ácido de Picloram, Fluroxipir-metílico, Picloram",/agrolinkfito/produto/albero-impala-patrono-reinado_11985.html
Alea,CTVA Proteção de Cultivos,Espinosade,/agrolinkfito/produto/alea_8076.html
Alia,UPL,Sulfentrazona,/agrolinkfito/produto/alia_10368.html
Álibi,Syngenta,"Azoxistrobina, Difenoconazol",/agrolinkfito/produto/alibi_10807.html
Aliette,Bayer,Fosetil,/agrolinkfito/produto/aliette_3152.html
Alika/Terminate Nortox,Syngenta,"Cipermetrina, Tiametoxam",/agrolinkfito/produto/alika-terminate-nortox_7002.html
Alion,Bayer,Indaziflam,/agrolinkfito/produto/alion_10205.html
Alion Pro,Bayer,"Indaziflam, Metribuzim",/agrolinkfito/produto/alion-pro_10317.html
Allus/Arek,Helm,"Imazetapir, Sulfentrazona",/agrolinkfito/produto/allus-arek_11325.html
Ally,FMC,Metsulfurom-metílico,/agrolinkfito/produto/ally_2996.html
Almada/Kejano,Adama,"Fluxapiroxade, Mancozebe, Protioconazol",/agrolinkfito/produto/almada-kejano_11766.html
Almane,Syngenta,Pinoxadem,/agrolinkfito/produto/almane_12113.html
Alon/Buffon/Zarpal,Globachem,"Bifentrina, Lufenurom",/agrolinkfito/produto/alon-buffon-zarpal_12067.html
Altacor,FMC,Clorantraniliprole,/agrolinkfito/produto/altacor_8374.html
Alterne,Adama,Tebuconazol,/agrolinkfito/produto/alterne_8335.html
Altima,ISK,Fluazinam,/agrolinkfito/produto/altima_8538.html
Alto 100,Syngenta,Ciproconazol,/agrolinkfito/produto/alto-100_3076.html
Alverde,Basf,Metaflumizone,/agrolinkfito/produto/alverde_10430.html
Alvofix,CHDS do Brasil,Bifentrina,/agrolinkfito/produto/alvofix_12204.html
Amaiz,Pilarquim,Nicossulfurom,/agrolinkfito/produto/amaiz_10318.html
Amanzi,Agrobiológica Sustentabilidade,Bacillus amyloliquefaciens isolado CBMAI 1301,/agrolinkfito/produto/amanzi_11584.html
Amaze 450 WG,ISK,Cimoxanil,/agrolinkfito/produto/amaze-450-wg_11767.html
Amblymip,Promip,Amblyseius tamatavensis,/agrolinkfito/produto/amblymip_11077.html
Ameforce,Zhongshan,Ametrina,/agrolinkfito/produto/ameforce_11516.html
Ameris,Alta,Tebutiurom,/agrolinkfito/produto/ameris_10144.html
Ametista,FMC,"Bifentrina, Zeta-Cipermetrina",/agrolinkfito/produto/ametista_8981.html
Ametrex 500 SC,Adama,Ametrina,/agrolinkfito/produto/ametrex-500-sc_6044.html
Ametrex WG,Adama,Ametrina,/agrolinkfito/produto/ametrex-wg_8016.html
Ametrina 500 SC CCAB,CCAB Agro,Ametrina,/agrolinkfito/produto/ametrina-500-sc-ccab_11913.html
Ametrina 500 SC Rainbow,Rainbow Defensivos,Ametrina,/agrolinkfito/produto/ametrina-500-sc-rainbow_10671.html
Ametrina 800 WG CHDS,CHDS do Brasil,Ametrina,/agrolinkfito/produto/ametrina-800-wg-chds_11517.html
Ametrina 800 WG Rainbow,Rainbow Defensivos,Ametrina,/agrolinkfito/produto/ametrina-800-wg-rainbow_11231.html
Ametrina Alta 500 SC,Alta,Ametrina,/agrolinkfito/produto/ametrina-alta-500-sc_10012.html
Ametrina CCAB 500 SC,CCAB Agro,Ametrina,/agrolinkfito/produto/ametrina-ccab-500-sc_11844.html
Ametrina CCAB 800 WG,Zhongshan,Ametrina,/agrolinkfito/produto/ametrina-ccab-800-wg_11514.html
Ametrina Nortox,Nortox,Ametrina,/agrolinkfito/produto/ametrina-nortox_11876.html
Ametrina R 500 SC Perterra,Rainbow Defensivos,Ametrina,/agrolinkfito/produto/ametrina-r-500-sc-perterra_11057.html
Amicarbazone Nortox,Nortox,Amicarbazona,/agrolinkfito/produto/amicarbazone-nortox_11813.html
Aminol 806,Adama,"2,4-D, Equivalente ácido de 2,4-D",/agrolinkfito/produto/aminol-806_1.html
Amistar 500 WG,Syngenta,Azoxistrobina,/agrolinkfito/produto/amistar-500-wg_7485.html
Amistar Top,Syngenta,"Azoxistrobina, Difenoconazol",/agrolinkfito/produto/amistar-top_8240.html
Amistar WG,Syngenta,Azoxistrobina,/agrolinkfito/produto/amistar-wg_7486.html
Amplexus,Basf,"Imazapique, Imazapir",/agrolinkfito/produto/amplexus_2946.html
Ampligo,Syngenta,"Clorantraniliprole, Lambda-Cialotrina",/agrolinkfito/produto/ampligo_8365.html
Ampligo Pro,Syngenta,"Abamectina, Clorantraniliprole",/agrolinkfito/produto/ampligo-pro_10226.html
Amplo,Basf,"Bentazona, Imazamoxi",/agrolinkfito/produto/amplo_7799.html
Amulet,Basf,Fipronil,/agrolinkfito/produto/amulet_7803.html
Amulet Top,Basf,"Fipronil, Piraclostrobina, Tiofanato-metílico",/agrolinkfito/produto/amulet-top_10620.html
Amylo Trop,COMDEAGRO,Bacillus amyloliquefaciens isolado IMA 411,/agrolinkfito/produto/amylo-trop_11719.html
Amylo-X SL/Bacilo-X,Mitsui,Bacillus amyloliquefaciens cepa D747,/agrolinkfito/produto/amylo-x-sl-bacilo-x_11644.html
Anchor SC,UPL,"Carboxina, Tiram",/agrolinkfito/produto/anchor-sc_7190.html
Ancosar 720/Anzo 720/Mansar 720/Defensar 720,Sipcam Nichino,MSMA,/agrolinkfito/produto/ancosar-720-anzo-720-mansar-720-defensar-720_7077.html
Andril Prime,Basf,Bacillus firmus cepa I-1582,/agrolinkfito/produto/andril-prime_10529.html
Ankara 350 SC,ANASAC Brasil,Tiodicarbe,/agrolinkfito/produto/ankara-350-sc_11549.html
Ankor,Syngenta,"Clorantraniliprole, Lambda-Cialotrina",/agrolinkfito/produto/ankor_10781.html
Antaris,Basf,"Imazetapir, Saflufenacil",/agrolinkfito/produto/antaris_11239.html
Antracol 700 WP,Bayer,Propinebe,/agrolinkfito/produto/antracol-700-wp_3137.html
Antrimo,Basf,Teflubenzurom,/agrolinkfito/produto/antrimo_8116.html
Apache 100 GR,FMC,Cadusafós,/agrolinkfito/produto/apache-100-gr_7727.html
Aplic,Bayer,"Ciclanilida, Cloreto de mepiquate",/agrolinkfito/produto/aplic_11849.html
Apollo 500 SC/Edessa,Tide,Carbendazim,/agrolinkfito/produto/apollo-500-sc-edessa_8638.html
Appalus 200 SC,Albaugh,Imidacloprido,/agrolinkfito/produto/appalus-200-sc_8336.html
Applaud 250,Nichino,Buprofezina,/agrolinkfito/produto/applaud-250_148.html
Approve,Iharabras,"Fluazinam, Tiofanato-metílico",/agrolinkfito/produto/approve_10275.html
Approve WG,Iharabras,"Fluazinam, Tiofanato-metílico",/agrolinkfito/produto/approve-wg_10508.html
Apresa/Adama Apresa,Adama,"Flumioxazina, S-Metolacloro",/agrolinkfito/produto/apresa-adama-apresa_11836.html
Aproach Power,Corteva,"Ciproconazol, Picoxistrobina",/agrolinkfito/produto/aproach-power_11175.html
Aproach Power BR,Corteva,"Ciproconazol, Picoxistrobina",/agrolinkfito/produto/aproach-power-br_11280.html
Aproach Prima,Corteva,"Ciproconazol, Picoxistrobina",/agrolinkfito/produto/aproach-prima_7337.html
Apron RFC,Syngenta,"Fludioxonil, Metalaxil-M",/agrolinkfito/produto/apron-rfc_7326.html
Aptika,Syngenta,"Lufenurom, Profenofós",/agrolinkfito/produto/aptika_10164.html
Aptur-PF,Agrobiológica Sustentabilidade,Paecilomyces fumosoroseus CCT 7769,/agrolinkfito/produto/aptur-pf_10721.html
Aquila,FMC,Acefato,/agrolinkfito/produto/aquila_5429.html
Araddo,Adama,"Cletodim, Equivalente ácido de Fluroxipir, Fluroxipir-meptílico",/agrolinkfito/produto/araddo_11242.html
Aradya,Gênica,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/aradya_11058.html
Arbust,Ouro Fino,Triclopir-butotílico,/agrolinkfito/produto/arbust_11839.html
Arcadia,Adama,"Cresoxim-metílico, Tebuconazol",/agrolinkfito/produto/arcadia_8550.html
Arcar,Nutrien,Metarhizium anisopliae cepa IBCB 425,/agrolinkfito/produto/arcar_10526.html
Arena,Globachem,"2,4-D, Equivalente ácido de 2,4-D, Equivalente Ácido de Picloram, Picloram",/agrolinkfito/produto/arena_7698.html
Argenfrut RV,AMVAC,Óleo mineral,/agrolinkfito/produto/argenfrut-rv_8081.html
Ariete/Lucro,Albaugh,Bifentrina,/agrolinkfito/produto/ariete-lucro_7331.html
Arizona,Zhongshan,Atrazina,/agrolinkfito/produto/arizona_11306.html
Arkeiro Nortox,Nortox,"Clorimurom-etílico, Flumioxazina, Imazetapir",/agrolinkfito/produto/arkeiro-nortox_12194.html
Armero BR,Adama,"Mancozebe, Protioconazol",/agrolinkfito/produto/armero-br_11587.html
Armigen,Agbitech,VPN-HzSNPV,/agrolinkfito/produto/armigen_10136.html
Arpo 800 WG,Solus,Fipronil,/agrolinkfito/produto/arpo-800-wg_12131.html
Arrange,CTVA Proteção de Cultivos,"2,4-D, Equivalente ácido de 2,4-D, Equivalente ácido de Glifosato, Glifosato",/agrolinkfito/produto/arrange_10514.html
Array 200 EC,Albaugh,Tebuconazol,/agrolinkfito/produto/array-200-ec_7893.html
Arreio Cana/Tayta 160 ME,Adama,"Equivalente ácido de Fluroxipir, Equivalente Ácido de Picloram, Fluroxipir-meptílico, Picloram",/agrolinkfito/produto/arreio-cana-tayta-160-me_10085.html
Arreio/Arreio Pasto,Adama,"Equivalente ácido de Fluroxipir, Equivalente Ácido de Picloram, Fluroxipir-meptílico, Picloram",/agrolinkfito/produto/arreio-arreio-pasto_10129.html
Arremate,Adama,"Equivalente ácido de Triclopir-butotílico, Fluroxipir-meptílico, Picloram, Triclopir-butotílico",/agrolinkfito/produto/arremate_11286.html
Arrow,Nortox,Trifluralina,/agrolinkfito/produto/arrow_7389.html
Artea,Syngenta,"Ciproconazol, Propiconazol",/agrolinkfito/produto/artea_5028.html
Artech,Ouro Fino,Azoxistrobina,/agrolinkfito/produto/artech_11471.html
Artys,UPL,"2,4-D, Equivalente ácido de 2,4-D, Equivalente Ácido de Picloram, Picloram",/agrolinkfito/produto/artys_8082.html
Arvatico,Syngenta,Bacillus velezensis isolado CNPSo 3602,/agrolinkfito/produto/arvatico_11398.html
Asataf 750 SP,AllierBrasil,Acefato,/agrolinkfito/produto/asataf-750-sp_11437.html
Asbelto Pro,TradeCorp,"Cloridrato de propamocarbe, Dimetomorfe",/agrolinkfito/produto/asbelto-pro_12214.html
Asgard 500 SC,Crystal Agro,Fluazinam,/agrolinkfito/produto/asgard-500-sc_11586.html
Aslan SL/Bruja/Vahana,CropChem,"Acetamiprido, Bifentrina",/agrolinkfito/produto/aslan-sl-bruja-vahana_11605.html
Assaris,Sinon,Metomil,/agrolinkfito/produto/assaris_10761.html
Assertive,Agrobiológica Sustentabilidade,"Beauveria bassiana isolado IBCB 66, Metarhizium anisopliae cepa IBCB 425",/agrolinkfito/produto/assertive_11252.html
Asulox 400,UPL,Asulam,/agrolinkfito/produto/asulox-400_8083.html
Atabron 50 EC,ISK,Clorfluazurom,/agrolinkfito/produto/atabron-50-ec_157.html
Atabron Ultra,ISK,Clorfluazurom,/agrolinkfito/produto/atabron-ultra_11629.html
Atak,Prentiss,Tebuconazol,/agrolinkfito/produto/atak_10712.html
Ataplan/Aratel,FMC,"Bacillus subtilis Cepa RTI477, Bacillus velezensis Cepa RTI301",/agrolinkfito/produto/ataplan-aratel_11447.html
Atectra,Basf,Dicamba,/agrolinkfito/produto/atectra_10225.html
Atectra SL,Basf,Dicamba,/agrolinkfito/produto/atectra-sl_11121.html
Atento 500 FS,Bayer,Fluquinconazol,/agrolinkfito/produto/atento-500-fs_11230.html
Atexzo Ant-F,Syngenta,Isocicloseram,/agrolinkfito/produto/atexzo-ant-f_12239.html
Atialy,Agrobiológica Sustentabilidade,Paecilomyces lilacinus,/agrolinkfito/produto/atialy_11014.html
Ativum,Basf,"Epoxiconazol, Fluxapiroxade, Piraclostrobina",/agrolinkfito/produto/ativum_10257.html
Atraer WG/Atradry Xtra/Atrabest Xtra/Atrapax Xtra/Atraking Xtra/Rezim Xtra/Rezina Xtra,Rainbow Defensivos,Atrazina,/agrolinkfito/produto/atraer-wg-atradry-xtra-atrabest-xtra-atrapax-xtra-atraking-xtra-rezim-xtra-rezina-xtra_10329.html
Atraforce,Proregistros,Atrazina,/agrolinkfito/produto/atraforce_12054.html
Atranex 500 SC,Adama,Atrazina,/agrolinkfito/produto/atranex-500-sc_6026.html
Atranex WG,Adama,Atrazina,/agrolinkfito/produto/atranex-wg_7395.html
Atrasimex 500 SC,Adama,"Atrazina, Simazina",/agrolinkfito/produto/atrasimex-500-sc_7490.html
Atrasimex WG,Adama,"Atrazina, Simazina",/agrolinkfito/produto/atrasimex-wg_7398.html
Atrazina 250 + Simazina 250 SC CCAB,CCAB Agro,"Atrazina, Simazina",/agrolinkfito/produto/atrazina-250---simazina-250-sc-ccab_11371.html
Atrazina 500 SC Alamos,Alamos,Atrazina,/agrolinkfito/produto/atrazina-500-sc-alamos_10684.html
Atrazina 500 SC CCAB,CCAB Agro,Atrazina,/agrolinkfito/produto/atrazina-500-sc-ccab_11449.html
Atrazina 500 SC Rainbow/Atrak/Atrabest/Atradry/Antera,Rainbow Defensivos,Atrazina,/agrolinkfito/produto/atrazina-500-sc-rainbow-atrak-atrabest-atradry-antera_10623.html
Atrazina 900 WG Alamos,Alamos,Atrazina,/agrolinkfito/produto/atrazina-900-wg-alamos_11170.html
Atrazina 900 WG CHDS,CHDS do Brasil,Atrazina,/agrolinkfito/produto/atrazina-900-wg-chds_11304.html
Atrazina 900 WG Crop,Solus,Atrazina,/agrolinkfito/produto/atrazina-900-wg-crop_11420.html
Atrazina 900 WG Fersol,Ameribrás,Atrazina,/agrolinkfito/produto/atrazina-900-wg-fersol_11431.html
Atrazina 900 WG OF,Zhongshan,Atrazina,/agrolinkfito/produto/atrazina-900-wg-of_11521.html
Atrazina Agro Import,Agro Import,Atrazina,/agrolinkfito/produto/atrazina-agro-import_10878.html
Atrazina CCAB 500 SC,CCAB Agro,Atrazina,/agrolinkfito/produto/atrazina-ccab-500-sc_10884.html
Atrazina Fersol 500 SC/Atraforce 500 SC,Fersol,Atrazina,/agrolinkfito/produto/atrazina-fersol-500-sc-atraforce-500-sc_10889.html
Atrazina Max CHDS,CHDS do Brasil,Atrazina,/agrolinkfito/produto/atrazina-max-chds_11624.html
Atrazina Max Nortox,Nortox,Atrazina,/agrolinkfito/produto/atrazina-max-nortox_10613.html
Atrazina Nortox 500 SC,Nortox,Atrazina,/agrolinkfito/produto/atrazina-nortox-500-sc_2934.html
Atrazina R 900 WG Perterra,Rainbow Defensivos,Atrazina,/agrolinkfito/produto/atrazina-r-900-wg-perterra_10332.html
Atrazina SD 500 SC,Sharda,Atrazina,/agrolinkfito/produto/atrazina-sd-500-sc_10763.html
Atrevido,Koppert,Beauveria bassiana isolado IBCB 66,/agrolinkfito/produto/atrevido_10522.html
